cityname,cityid
봉화,1
영동,2
영양,3
보은,4
괴산,5
청주,6
태안,7
계롱,8
논산,9
서천,10
예산,11
서산,12
가평,13
양주,14
부여,15
평창,16
가평,17
태안,18
천안,20
예산,21
아산,22
서천,23
보령,24
해남,25
강화,26
백령도,27
장성,28
신안,30
담양,31
광양,32
장수,33
익산,34
가평,35
횡성,37
평창,38
울진,39
영천,40
영주,41
함양,42
화성,43
포천,44
파주,45
남원,47
의령,48
고성,49
제주도,50
거창,51
홍대,52
여의도,53
상암,54
명동,55
인사동,55
남산,56
잠실,57
강남,57
한강,58
낙산,60
서울,61
구로,72
북한산,73
동대문,76
남산성곽,77
북촌,78
정선,79
강릉,80
태백,81
화천,82
정선,83
공주,84
금산,85
서산,86
서천,87
금산,90
정읍,94
울릉도,115
울진,117
영덕,119
경주,121
포항,123
칠곡,125
성주,128
고령,129
청도,131
군위,132
경산,133
영천,135
구미,137
김천,139
봉화,141
예천,144
안동,160
김해,168
거제,176
통영,177
하동,202
진주,217
함안,230
세종,270